Tax	CMC	CN
g_Alistipes	0.03499553835261458	0.0036746262268135274
g_Alloprevotella	0.009722551298865241	0.004594581550369877
g_Bacteroides	0.014517436545222931	0.005378354379577581
g_Bifidobacterium	0.01434043871459996	0.005363953172390917
g_Candidatus Saccharimonas	0.008808220394380523	0.005574456279682454
g_Colidextribacter	0.037955946671359445	0.019935072982880116
g_Incertae Sedis	0.0024450786804416174	0.0012406686494600481
g_Lachnospiraceae NK4A136 group	0.09978601700917487	0.017798977612219397
g_Papillibacter	0.0031407775627311394	0.0013350365486812933
g_Parabacteroides	0.011182927106307642	0.0037205546400333445
g_Prevotella	0.021516340285872182	0.005893576571875328
g_Prevotella_9	0.25789678614550576	0.5517168567786808
g_Prevotellaceae Ga6A1 group	0.004899276391599363	0.0011775268860709663
g_Prevotellaceae NK3B31 group	0.1170763793753907	0.05048678988673481
g_Rikenellaceae RC9 gut group	0.05157348104499058	0.016634213267242074
g_Ruminococcus	0.01717113179810862	0.010736926566194514
g_UCG-003	0.01197327329955269	0.005696406279421432
